sysno|authorroman|titleroman|title|imprintplaceroman|publisherroman|date|pages|authorlast|authorfirst|iadetails|iaidentifier|streamurl|downloadurl,,,,,,,,,,,,,,,,,
212446|Leṿinsḳi, Yitsḥaḳ|Di unbeḳanṭe ferliebṭe : a roman|די אונבעקאנטע פערליעבטע : א ראמאן|Ṿarsha|Y. Lidsḳi,|1901|158|לעווינסקי|ה|https://archive.org/details/nybc212446|nybc212446|http://www.archive.org/stream/nybc212446|http://www.archive.org/download/nybc212446/nybc212446.pdf
212472||Idisher yohr bukh : 1914.|אידישער יאהר בוך : 1914|Nyuyorḳ|Idisher sotsyalisṭisher federatsyon,|1914|110|||https://archive.org/details/nybc212472|nybc212472|http://www.archive.org/stream/nybc212472|http://www.archive.org/download/nybc212472/nybc212472.pdf
212396|Kahan, Khaim.|Shprakhḳenṭenish : arbeṭ bukh af shprakh farn tsṿayṭn ḳontsenṭer ...|שפראכקענטעניש : ארנעט-בוכ אפ שפראכ פארנ צווייטנ קאנצענטער ..|Mosḳṿe ; Kharḳoṿ ; Minsḳ|Tsenṭraler felḳer-farlag fun F.S.S.R.,|1931||קאהאנ|כאימ|https://archive.org/details/nybc212396|nybc212396|http://www.archive.org/stream/nybc212396|http://www.archive.org/download/nybc212396/nybc212396.pdf
212439|Sarin, Ber.|Kh'ṿel aykh dertseyln a mayse|כ'וועל אייך דערציילן א מייסע|Ṿarshe|Yidish Bukh,|1958|80|סארין|בער|https://archive.org/details/nybc212439|nybc212439|http://www.archive.org/stream/nybc212439|http://www.archive.org/download/nybc212439/nybc212439.pdf
212441|Sarao, Matilda.|Der tsayṭungs-shrayber : roman|דער צייטונגס-שרייבער : ראמאן|Ṿarsha|A. Giṭlin's folḳs-biblyoteḳ,|1911|148|סאראא|מאטילדע|https://archive.org/details/nybc212441|nybc212441|http://www.archive.org/stream/nybc212441|http://www.archive.org/download/nybc212441/nybc212441.pdf
211747|Efrati, Mosheh|Shpendlekh fun a teyve : roman ; an epopaye ṿegn lebn fun di Yidn in Raṭnfarband un in Yis̀roel nakh der Tsṿeyṭer Ṿelṭ-Milḥome|שפענדלעך פון א תיבה : ראמאן ; אן עפאפייע וועגן לעבן פון די יידן אין ראטנפארבאנד און אין ישראל נאך דער צווייטער וועלט-מלחמה|Tel-Aviv|Mifrats, 627,|1967||סמבטיון|מ|https://archive.org/details/nybc211747|nybc211747|http://www.archive.org/stream/nybc211747|http://www.archive.org/download/nybc211747/nybc211747.pdf
211374|Gildin, Chaim|Gezamlṭe ṿerḳ|געזאמלטע ווערק|Kharḳoṿ|Liṭeraṭur un ḳunsṭ,|1932|285|גילדינ|כאימ|https://archive.org/details/nybc211374|nybc211374|http://www.archive.org/stream/nybc211374|http://www.archive.org/download/nybc211374/nybc211374.pdf
211441|Feuerberg, Mordecai Zeʼev|Ertsehlungen|ערצעהלונגען|S.-Peterburg|Di naye biblioṭeḳ,|1903|41|פייערבערג|מ. ז|https://archive.org/details/nybc211441|nybc211441|http://www.archive.org/stream/nybc211441|http://www.archive.org/download/nybc211441/nybc211441.pdf
211664|Harkavy, Alexander|Ṿashingṭon : zayn geburṭ, yugend un ertsihung|וואשינגטאן : זיין געבורט, יוגענד און ערציהונג. : מיט ביילאגע: דיא אונאבהענגיגקייטס ערקלערונג אין ענגליש און יודיש|Nyu Yorḳ|Hibru Pob.,|1919|32|||https://archive.org/details/nybc211664|nybc211664|http://www.archive.org/stream/nybc211664|http://www.archive.org/download/nybc211664/nybc211664.pdf
212471|Ginsburg, Saul M.|Evreĭskii͡a narodnyi͡a pi͡esni v Rossii||S.-Peterburg|Redaktsii͡a ""Voskhoda"",|1901|329|||https://archive.org/details/nybc212471|nybc212471|http://www.archive.org/stream/nybc212471|http://www.archive.org/download/nybc212471/nybc212471.pdf
211363|Epshṭeyn, Ab.|Gezen in Biro-Bidzshan : faḳṭn un derfarungen|געזען אין בירא-בידזשאן : פאקטן און דערפארונגען|Nyu Yorḳ|Iḳor,|1931|24|עּפשטיין|אב|https://archive.org/details/nybc211363|nybc211363|http://www.archive.org/stream/nybc211363|http://www.archive.org/download/nybc211363/nybc211363.pdf
